Library DSC Record URL http://images.library.amnh.org/digital/ ,Library DSC Image Number,Coordinating Anthropology Record Specimen Number,Coordinating Anthropology Specimen Record URL https://anthro.amnh.org/collections   
http://images.library.amnh.org/digital/item/7322,7322,16.1/1795,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=16%2E1%2F%201795 
http://images.library.amnh.org/digital/item/K9507 ,K9507,16/578,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=16%20%20%2F%20%20578
http://images.library.amnh.org/digital/item/3549 ,3549,50.1/1408,https://anthro.amnh.org/anthropology/databases/common/public_access.cfm?database=mixdata&object_list=50%2F5286&buttonSubmit=Search 
http://images.library.amnh.org/digital/item/2702 ,2702,50.1/7729,not in database?
http://images.library.amnh.org/digital/item/6680 ,6680,50.2/4340,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=50%2E2%2F%204340
http://images.library.amnh.org/digital/item/2579,2759,50.2/6539,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=50%2E2%2F%206539 
http://images.library.amnh.org/digital/item/7048,7048,50/4573,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=50%20%20%2F%204573
http://images.library.amnh.org/digital/item/2648 ,2648,50/5286,https://anthro.amnh.org/anthropology/databases/common/public_access.cfm?database=mixdata&object_list=50%2F5286&buttonSubmit=Search 
http://images.library.amnh.org/digital/item/7034 ,7034,50/7871,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=50%20%20%2F%207871 
http://images.library.amnh.org/digital/item/3206,3206,Unknown,
http://images.library.amnh.org/digital/item/K13946 ,K13946,Unknown,
http://images.library.amnh.org/digital/item/K13948 ,K13948,Unknown,
http://images.library.amnh.org/digital/item/K13950 ,K13950,Unknown,
http://images.library.amnh.org/digital/item/42342 ,42342,Unknown,
http://images.library.amnh.org/digital/item/K9526 ,K9526,Unknown,
http://images.library.amnh.org/digital/item/11198 ,11198,Unknown,
http://images.library.amnh.org/digital/item/1955 ,1955,Unknown,
http://images.library.amnh.org/digital/item/K12456 ,K12456,Unknown,
http://images.library.amnh.org/digital/item/5706 ,5706,Unknown,
,,,
"Jesup North Pacific Expedition: Library field images linked with collected objects. Can we create these links on DSC? Can we create these links in other sets, such as with the Lumholtz Collection images and items from the Indians of Mexico or Fran Boas and Northwest Coast Peoples?",,,
https://anthro.amnh.org/jesup_photos ,,,
http://images.library.amnh.org/digital/items/show/30375,1427,70 / 2793  and multiple others shown in record associated with costume,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=70%20%20%2F%202793  
http://images.library.amnh.org/digital/item/1610 ,1610, 70 / 5165 and multiple others shown in record associated with costume,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=70%20%20%2F%205165 
http://images.library.amnh.org/digital/items/show/30370 ,1611,70 / 5163,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=70%20%20%2F%205163&from_anthro=yes
http://images.library.amnh.org/digital/item/1450 ,1450,Unknown,
http://images.library.amnh.org/digital/item/41652 ,41652,Unknown,
http://images.library.amnh.org/digital/item/42421,42421,65 / 1298,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=65%20%20%2F%201298
http://images.library.amnh.org/digital/item/43199 ,43199,Huichol belts? Suggested search,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=65%20%20%2F%20%20192 
http://images.library.amnh.org/digital/item/42418,42418,65 / 1536,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=65%20%20%2F%201536
http://images.library.amnh.org/digital/item/42420 ,42420,65 / 1849,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=65%20%20%2F%201849
http://images.library.amnh.org/digital/item/CL1365  ,CL1365,Unknown,
http://images.library.amnh.org/digital/item/43136 ,CL43136,Unknown?,
http://images.library.amnh.org/digital/item/CL1305 ,CL1305,Unknown,
http://images.library.amnh.org/digital/item/CLG003 ,CLG003,Unknown,
http://images.library.amnh.org/digital/item/CLG006 ,CLG006,Unknown,
http://images.library.amnh.org/digital/item/CLG015 ,CLG015,Unknown,
http://images.library.amnh.org/digital/item/CLG018 ,CLG018,Unknown,
Unknown,Unknown,65 / 1031 ,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=65%20%20%2F%201031&from_anthro=yes 
http://images.library.amnh.org/digital/item/42328,42328,16 / 966,https://anthro.amnh.org/anthropology/databases/common/image_dup.cfm?catno=16%20%20%2F%20%20966